method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,training_time,communication_time,evaluation_time,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,stage,source_partial
NOG-FO,NOG-opt,360,360,180,8,y_bar,0.1,0.1,0.1,2,1.0,0.15530812740325928,6.572715770453215,6.572715770453215,4.780611734837294,6.694325862452388,621,100621,200621,687788602,sfo,2896,2896,362,"[362, 362, 362, 362, 362, 362, 362, 362]",1966080,362,362,-0.8186702728271484,0.04422212019562721,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,384,384,192,8,y_bar,0.1,0.1,0.1,2,1.0,0.10507450997829437,7.0939199440181255,7.0939199440181255,5.167535772547126,7.157946756109595,621,100621,200621,687788602,sfo,3088,3088,386,"[386, 386, 386, 386, 386, 386, 386, 386]",2097152,386,386,-0.823309063911438,0.036955222487449646,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,408,408,204,8,y_bar,0.1,0.1,0.1,2,1.0,0.13181321322917938,7.539844578132033,7.539844578132033,5.482088319957256,7.618380457162857,621,100621,200621,687788602,sfo,3280,3280,410,"[410, 410, 410, 410, 410, 410, 410, 410]",2228224,410,410,-0.8267936110496521,0.030825521796941757,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,432,432,216,8,y_bar,0.1,0.1,0.1,2,1.0,0.11372391134500504,8.047411924228072,8.047411924228072,5.930211601778865,8.099705489352345,621,100621,200621,687788602,sfo,3472,3472,434,"[434, 434, 434, 434, 434, 434, 434, 434]",2359296,434,434,-0.8289343118667603,0.02629278600215912,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,456,456,228,8,y_bar,0.1,0.1,0.1,2,1.0,0.14361391961574554,8.475529208779335,8.475529208779335,6.2492194678634405,8.593732293695211,621,100621,200621,687788602,sfo,3664,3664,458,"[458, 458, 458, 458, 458, 458, 458, 458]",2490368,458,458,-0.8309186100959778,0.021426744759082794,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,480,480,240,8,y_bar,0.1,0.1,0.1,2,1.0,0.1037449762225151,8.951242573559284,8.951242573559284,6.593791306018829,9.066004058346152,621,100621,200621,687788602,sfo,3856,3856,482,"[482, 482, 482, 482, 482, 482, 482, 482]",2621440,482,482,-0.8311429023742676,0.020440254360437393,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,504,504,252,8,y_bar,0.1,0.1,0.1,2,1.0,0.14961062371730804,9.291030185297132,9.291030185297132,6.8745311461389065,9.652695642784238,621,100621,200621,687788602,sfo,4048,4048,506,"[506, 506, 506, 506, 506, 506, 506, 506]",2752512,506,506,-0.8314568400382996,0.018921727314591408,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,528,528,264,8,y_bar,0.1,0.1,0.1,2,1.0,0.12047021090984344,9.678888577967882,9.678888577967882,7.205351214855909,10.135673847049475,621,100621,200621,687788602,sfo,4240,4240,530,"[530, 530, 530, 530, 530, 530, 530, 530]",2883584,530,530,-0.8315588235855103,0.01852859929203987,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,552,552,276,8,y_bar,0.1,0.1,0.1,2,1.0,0.11543838679790497,10.102292273193598,10.102292273193598,7.507026581093669,10.56030193157494,621,100621,200621,687788602,sfo,4432,4432,554,"[554, 554, 554, 554, 554, 554, 554, 554]",3014656,554,554,-0.8326907753944397,0.014625254087150097,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,576,576,288,8,y_bar,0.1,0.1,0.1,2,1.0,0.09636019170284271,10.476814366877079,10.476814366877079,7.7554483525455,10.991325575858355,621,100621,200621,687788602,sfo,4624,4624,578,"[578, 578, 578, 578, 578, 578, 578, 578]",3145728,578,578,-0.833013117313385,0.013378607109189034,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
