stage,method,formal_seed,epsilon,hit,hit_iteration,hit_depth,hit_work,hit_epsilon,max_depth,max_work
formal,NOG-FO-NONOPT,622,0.05,True,168.0,170.0,1360.0,0.04981798678636551,962.0,7696.0
formal,NOG-FO-NONOPT,622,0.03,True,216.0,218.0,1744.0,0.018030041828751564,962.0,7696.0
formal,NOG-FO-NONOPT,622,0.02,True,216.0,218.0,1744.0,0.018030041828751564,962.0,7696.0
formal,NOG-FO-NONOPT,622,0.015,True,240.0,242.0,1936.0,0.014079820364713669,962.0,7696.0
formal,NOG-FO-NONOPT,622,0.01,False,,,,0.012205355800688267,962.0,7696.0
formal,NOG-FO-NONOPT,622,0.009,False,,,,0.012205355800688267,962.0,7696.0
formal,NOG-FO-NONOPT,622,0.008,False,,,,0.012205355800688267,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.2,True,72.0,74.0,592.0,0.19951900839805603,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.1,True,144.0,146.0,1168.0,0.08388740569353104,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.05,True,192.0,194.0,1552.0,0.03538961336016655,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.03,True,216.0,218.0,1744.0,0.022070402279496193,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.02,True,240.0,242.0,1936.0,0.015547633171081543,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.015,True,264.0,266.0,2128.0,0.012933771125972271,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.01,False,,,,0.013429437763988972,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.009,False,,,,0.013429437763988972,962.0,7696.0
formal,NOG-FO-NONOPT,623,0.008,False,,,,0.013429437763988972,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.2,True,72.0,74.0,592.0,0.1966862976551056,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.1,True,144.0,146.0,1168.0,0.08407929539680481,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.05,True,192.0,194.0,1552.0,0.03710810840129852,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.03,True,216.0,218.0,1744.0,0.024078700691461563,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.02,True,264.0,266.0,2128.0,0.019138507544994354,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.015,True,288.0,290.0,2320.0,0.013145257718861103,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.01,False,,,,0.013560546562075615,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.009,False,,,,0.013560546562075615,962.0,7696.0
formal,NOG-FO-NONOPT,624,0.008,False,,,,0.013560546562075615,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.2,True,72.0,74.0,592.0,0.19785158336162567,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.1,True,144.0,146.0,1168.0,0.08160657435655594,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.05,True,192.0,194.0,1552.0,0.027823898941278458,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.03,True,192.0,194.0,1552.0,0.027823898941278458,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.02,True,216.0,218.0,1744.0,0.016878262162208557,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.015,True,240.0,242.0,1936.0,0.012685718946158886,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.01,False,,,,0.013564852066338062,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.009,False,,,,0.013564852066338062,962.0,7696.0
formal,NOG-FO-NONOPT,625,0.008,False,,,,0.013564852066338062,962.0,7696.0
formal,NOG-FO-NONOPT,626,0.2,True,72.0,74.0,592.0,0.19684572517871857,962.0,7696.0
formal,NOG-FO-NONOPT,626,0.1,True,144.0,146.0,1168.0,0.08003275841474533,962.0,7696.0
