method,epsilon,region,formal_seed,hit,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,censoring_depth,censoring_total_work,censoring_per_worker_work,censoring_training_time,final_stat_proxy
NOG-FO,0.009,fine,15,True,120,122,62464,7808,1.483229667879641,61442,31458304,3932288,660.0217481611762,0.006687046494334936
NOG-FO,0.009,fine,16,True,72,74,37888,4736,0.990385364042595,61442,31458304,3932288,666.8074724886101,0.0068082138895988464
NOG-FO,0.009,fine,17,True,120,122,62464,7808,1.4579994101077318,61442,31458304,3932288,642.3440226453822,0.007238667458295822
NOG-FO,0.009,fine,18,True,72,74,37888,4736,0.9746086189989001,61442,31458304,3932288,652.374241894111,0.007087454665452242
NOG-FO,0.009,fine,19,True,120,122,62464,7808,1.469193420605734,61442,31458304,3932288,646.6911719036289,0.007029640953987837
NOG-FO,0.008,fine,0,True,72,74,37888,4736,1.25313835660927,61442,31458304,3932288,656.3708682809956,0.006724645849317312
NOG-FO,0.008,fine,1,True,168,170,87040,10880,2.034470897866413,61442,31458304,3932288,649.8601421914063,0.006369575392454863
NOG-FO,0.008,fine,2,True,120,122,62464,7808,1.4259549675043672,61442,31458304,3932288,653.8731739306822,0.006733762566000223
NOG-FO,0.008,fine,3,True,120,122,62464,7808,1.4845779060851783,61442,31458304,3932288,648.2452485784888,0.0074996985495090485
NOG-FO,0.008,fine,4,True,168,170,87040,10880,2.075069344835356,61442,31458304,3932288,647.7081150158774,0.007654862478375435
NOG-FO,0.008,fine,5,True,120,122,62464,7808,1.4435688832309097,61442,31458304,3932288,651.5756758386269,0.006679874379187822
NOG-FO,0.008,fine,6,True,792,794,406528,50816,8.658931870479137,61442,31458304,3932288,649.4307274809107,0.006209922954440117
NOG-FO,0.008,fine,7,True,120,122,62464,7808,1.460691358661279,61442,31458304,3932288,654.1344398951624,0.006934375036507845
NOG-FO,0.008,fine,8,True,216,218,111616,13952,2.5024796654470265,61442,31458304,3932288,653.7205309583806,0.00636958796530962
