scope,method,epsilon,formal_seed,data_B_total,hit,first_hit_depth,first_hit_total_work,censoring_depth,censoring_total_work,final_stat_proxy
primary,NOG-FO,0.00875,22,32,True,626,20032,15362,491584,0.0057872869074344635
primary,NOG-FO,0.00875,23,32,True,722,23104,15362,491584,0.005244918167591095
primary,NOG-FO,0.00875,24,32,True,626,20032,15362,491584,0.006087501998990774
primary,NOG-FO,0.00875,25,32,True,650,20800,15362,491584,0.00489584356546402
primary,NOG-FO,0.00875,26,32,True,674,21568,15362,491584,0.0059431674890220165
primary,NOG-FO,0.00875,27,32,True,626,20032,15362,491584,0.00491165928542614
primary,NOG-FO,0.00875,28,32,True,626,20032,15362,491584,0.005798894912004471
primary,NOG-FO,0.00875,29,32,True,674,21568,15362,491584,0.005476533900946379
primary,NOG-FO,0.00875,30,32,True,626,20032,15362,491584,0.005004546605050564
primary,NOG-FO,0.00875,31,32,True,674,21568,15362,491584,0.005383715964853764
primary,NOG-FO,0.00875,32,32,True,698,22336,15362,491584,0.005433218088001013
primary,NOG-FO,0.00875,33,32,True,698,22336,15362,491584,0.005673905834555626
primary,NOG-FO,0.00875,34,32,True,650,20800,15362,491584,0.005512638948857784
primary,NOG-FO,0.00875,35,32,True,722,23104,15362,491584,0.005661352537572384
primary,NOG-FO,0.00875,36,32,True,698,22336,15362,491584,0.0055730026215314865
primary,NOG-FO,0.00875,37,32,True,674,21568,15362,491584,0.005038395989686251
primary,NOG-FO,0.00875,38,32,True,698,22336,15362,491584,0.0054754395969212055
