method,formal_seed,checkpoints,final_depth,final_work,median_depth_gap,max_depth_gap,median_work_gap,max_work_gap,raw_floor,raw_floor_depth,raw_floor_work,raw_floor_work_fraction,confirmed_floor,confirmed_floor_depth,confirmed_floor_work,confirmed_floor_work_fraction,raw_to_confirmed_floor_gap,final_proxy,final_over_confirmed_floor,last_20_percent_proxy_slope,tail_improving,early_rebound,late_floor,extension_outlook
DGFM,10,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0106511414051055,5288,676864,0.6885416666666667,0.0107167037203907,5120,655360,0.6666666666666666,6.55623152851989e-05,0.0129576940089464,1.209111901105539,0.0034515042369007306,False,False,False,extension_uncertain
DGFM,11,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0099215321242809,6672,854016,0.86875,0.0101126190274953,6672,854016,0.86875,0.00019108690321439914,0.0105457557365298,1.0428313088683396,0.002418708888825956,False,False,True,extension_plausible_but_unproven
DGFM,12,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0100647564977407,6192,792576,0.80625,0.0101700080558657,6392,818176,0.8322916666666667,0.00010525155812499999,0.0114538250491023,1.1262355925565013,0.007732441667081827,False,False,True,extension_plausible_but_unproven
DGFM,13,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0104827145114541,5392,690176,0.7020833333333333,0.010607287287712,5408,692224,0.7041666666666667,0.00012457277625789985,0.0127973146736621,1.2064644170133052,0.005611636555458723,False,False,False,extension_uncertain
DGFM,14,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0107453903183341,6624,847872,0.8625,0.0108286319300532,6624,847872,0.8625,8.324161171910024e-05,0.0111229494214057,1.0271795637023795,-0.001576080192161879,True,False,True,extension_plausible_but_unproven
DGFM,15,961,7680,983040,8.0,8.0,1024.0,1024.0,0.009978917427361,6872,879616,0.8947916666666667,0.0100534558296203,7096,908288,0.9239583333333333,7.453840225930125e-05,0.0106775686144828,1.0620794277549506,-0.004123540061488034,True,False,True,extension_plausible_but_unproven
DGFM,16,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0105586722493171,5296,677888,0.6895833333333333,0.0105765117332339,5296,677888,0.6895833333333333,1.783948391679939e-05,0.0117015298455953,1.1063694855862853,-0.002161287586277344,True,False,False,extension_plausible_but_unproven
DGFM,17,961,7680,983040,8.0,8.0,1024.0,1024.0,0.010332896374166,5728,733184,0.7458333333333333,0.0104484362527728,5600,716800,0.7291666666666666,0.00011553987860679973,0.0116747906431555,1.1173720507752776,-0.00028734495532610965,True,False,False,extension_plausible_but_unproven
DGFM,18,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0107389139011502,4032,516096,0.525,0.0109109915792942,4024,515072,0.5239583333333333,0.00017207767814399894,0.0121542457491159,1.1139451131262008,0.0010015510261742833,False,False,False,extension_uncertain
DGFM,19,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0100740352645516,7296,933888,0.95,0.0101390574127435,7296,933888,0.95,6.502214819190111e-05,0.0108327195048332,1.0684148500054704,-0.0065866818132272065,True,False,True,extension_plausible_but_unproven
DGFM+,0,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0274659693241119,7080,963072,0.9796875,0.0274824034422636,7072,962048,0.9786458333333333,1.643411815169943e-05,0.0281314216554164,1.0236157734354017,-0.003608291500423688,True,False,True,extension_plausible_but_unproven
DGFM+,1,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0256831217557191,6352,864512,0.8794270833333333,0.0256988182663917,6352,864512,0.8794270833333333,1.569651067259703e-05,0.0287474133074283,1.1186278298649819,0.014351496327441609,False,False,True,extension_plausible_but_unproven
DGFM+,2,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0265717338770627,5912,804352,0.8182291666666667,0.0265771653503179,5904,803328,0.8171875,5.431473255199104e-06,0.031612541526556,1.189462499475245,0.01410668118570023,False,False,True,extension_plausible_but_unproven
DGFM+,3,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0270847231149673,3512,477952,0.4861979166666667,0.0270947236567735,3512,477952,0.4861979166666667,1.0000541806200192e-05,0.0279678981751203,1.0322267364453637,-0.003914944928435917,True,False,False,extension_plausible_but_unproven
DGFM+,4,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0257926676422357,7096,965120,0.9817708333333334,0.02580102160573,7096,965120,0.9817708333333334,8.353963494300842e-06,0.0263429973274469,1.021005979142955,-0.021060821166647373,True,False,True,extension_plausible_but_unproven
DGFM+,5,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0268233064562082,2880,391680,0.3984375,0.026860449463129,2872,390656,0.39739583333333334,3.714300692079717e-05,0.0279108379036188,1.039105393300721,-0.018608523260361734,True,False,False,extension_plausible_but_unproven
DGFM+,6,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0280350968241691,2976,404736,0.41171875,0.0280511677265167,2976,404736,0.41171875,1.6070902347599392e-05,0.0300219934433698,1.0702582415130648,-0.002028376296699075,True,False,False,extension_plausible_but_unproven
DGFM+,7,904,7224,983040,8.0,8.0,1024.0,1792.0,0.0292676463723182,4384,596480,0.6067708333333334,0.0292715802788734,4376,595456,0.6057291666666667,3.933906555200067e-06,0.0314718969166278,1.0751690416708546,0.017039193568404446,False,False,False,extension_uncertain
