method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
NOG-ZO,2,0.18,True,124.0,126976.0,0.1751220226287841,960.0,983040.0,124.0,126976.0
NOG-ZO,2,0.16,True,140.0,143360.0,0.1547655910253524,960.0,983040.0,140.0,143360.0
NOG-ZO,2,0.14,True,152.0,155648.0,0.139049619436264,960.0,983040.0,152.0,155648.0
NOG-ZO,2,0.12,True,168.0,172032.0,0.1157338842749595,960.0,983040.0,168.0,172032.0
NOG-ZO,2,0.1,True,180.0,184320.0,0.0984336733818054,960.0,983040.0,180.0,184320.0
NOG-ZO,2,0.09,True,188.0,192512.0,0.0861505940556526,960.0,983040.0,188.0,192512.0
NOG-ZO,2,0.08,True,196.0,200704.0,0.074452519416809,960.0,983040.0,196.0,200704.0
NOG-ZO,2,0.07,True,200.0,204800.0,0.0676723197102546,960.0,983040.0,200.0,204800.0
NOG-ZO,2,0.06,True,208.0,212992.0,0.0564639419317245,960.0,983040.0,208.0,212992.0
NOG-ZO,2,0.05,True,216.0,221184.0,0.0443560592830181,960.0,983040.0,216.0,221184.0
NOG-ZO,2,0.04,True,220.0,225280.0,0.0389298759400844,960.0,983040.0,220.0,225280.0
NOG-ZO,2,0.03,True,228.0,233472.0,0.0284747332334518,960.0,983040.0,228.0,233472.0
NOG-ZO,2,0.025,True,232.0,237568.0,0.0238450746983289,960.0,983040.0,232.0,237568.0
NOG-ZO,2,0.02,True,236.0,241664.0,0.0198020469397306,960.0,983040.0,236.0,241664.0
NOG-ZO,2,0.018,True,240.0,245760.0,0.0163400266319513,960.0,983040.0,240.0,245760.0
NOG-ZO,2,0.016,True,244.0,249856.0,0.0148586509749293,960.0,983040.0,244.0,249856.0
NOG-ZO,2,0.015,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.014,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.013,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.012,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.0115,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.011,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.01075,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.0105,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.01025,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.01,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.0095,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.009,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.008,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.007,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.006,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.005,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.004,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.003,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.002,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.2,True,100.0,102400.0,0.1998514831066131,960.0,983040.0,100.0,102400.0
NOG-ZO,3,0.18,True,120.0,122880.0,0.178076297044754,960.0,983040.0,120.0,122880.0
NOG-ZO,3,0.16,True,136.0,139264.0,0.1585799604654312,960.0,983040.0,136.0,139264.0
NOG-ZO,3,0.14,True,152.0,155648.0,0.1370695680379867,960.0,983040.0,152.0,155648.0
NOG-ZO,3,0.12,True,168.0,172032.0,0.1148925647139549,960.0,983040.0,168.0,172032.0
NOG-ZO,3,0.1,True,180.0,184320.0,0.097826212644577,960.0,983040.0,180.0,184320.0
NOG-ZO,3,0.09,True,188.0,192512.0,0.0855547413229942,960.0,983040.0,188.0,192512.0
NOG-ZO,3,0.08,True,196.0,200704.0,0.074017159640789,960.0,983040.0,196.0,200704.0
NOG-ZO,3,0.07,True,200.0,204800.0,0.0688760727643966,960.0,983040.0,200.0,204800.0
