dimension,baseline,ratio_direction,epsilon,scope,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high
100,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.015,descriptive,11,20,False,"0,1,3,5,6,9,10,12,15,16,19",5.63205855487717,1.5312681998896056,4.872843192634971,6.551879717321281,1.4080146387192924,0.3828170499724014,1.2160371196096342,1.6311867668621698
100,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
100,DGFM,DGFM/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.044828791055206,0.11026771071888956,5.994618273934312,6.08945143256464,0.7556035988819008,0.013783463839861195,0.7500129935359886,0.7616396968902865
100,DGFM,DGFM/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.2095886267392615,0.21606895479121369,7.117816091954023,7.30629234724743,0.9011985783424077,0.02700861934890171,0.8900700431034484,0.9136538679673323
100,DGFM,DGFM/NOG-ZO,0.02,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.404180790960453,0.30958799125026876,8.271369350282486,8.532721751412431,1.0505225988700566,0.038698498906283595,1.0342732168079096,1.0672259004237286
100,DGFM,DGFM/NOG-ZO,0.018,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.790805316291564,0.3883504931883913,8.614949094655923,8.958661549504491,1.0988506645364455,0.048543811648548915,1.077901934565157,1.1189142745091232
100,DGFM,DGFM/NOG-ZO,0.016,descriptive,18,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19",9.389101396478445,0.45669921750334164,9.175645112325439,9.59570734669095,1.1736376745598056,0.057087402187917705,1.1487852914389798,1.2005712090163934
100,DGFM,DGFM/NOG-ZO,0.015,descriptive,11,20,False,"0,1,3,5,6,9,10,12,15,16,19",9.853168918160986,0.5148108462511101,9.567448560165376,10.163145722160793,1.2316461147701232,0.06435135578138876,1.1974651158598146,1.2682632095011457
100,DGFM,DGFM/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
100,DGFM+,DGFM+/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.575401816911251,0.4812612821218665,6.381820405310972,6.778174353598883,0.8747357617051014,0.06428679062800167,0.848061779350105,0.9036389544025158
