dimension,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
25,ME-DOL-ZO,10,0.02,descriptive,True,672.0,172032.0,0.019985256716609,3840.0,983040.0,672.0,172032.0
25,ME-DOL-ZO,10,0.018,descriptive,True,708.0,181248.0,0.0177798476070165,3840.0,983040.0,708.0,181248.0
25,ME-DOL-ZO,10,0.016,descriptive,True,756.0,193536.0,0.01590490154922,3840.0,983040.0,756.0,193536.0
25,ME-DOL-ZO,10,0.015,descriptive,True,864.0,221184.0,0.0136387981474399,3840.0,983040.0,864.0,221184.0
25,ME-DOL-ZO,10,0.01,descriptive,False,,,,3840.0,983040.0,3840.0,983040.0
25,ME-DOL-ZO,11,0.05,primary,True,324.0,82944.0,0.0496927239000797,3840.0,983040.0,324.0,82944.0
25,ME-DOL-ZO,11,0.03,primary,True,408.0,104448.0,0.0299086775630712,3840.0,983040.0,408.0,104448.0
25,ME-DOL-ZO,11,0.02,descriptive,True,600.0,153600.0,0.0195975061506032,3840.0,983040.0,600.0,153600.0
25,ME-DOL-ZO,11,0.018,descriptive,True,636.0,162816.0,0.0167072229087352,3840.0,983040.0,636.0,162816.0
25,ME-DOL-ZO,11,0.016,descriptive,True,696.0,178176.0,0.0159181393682956,3840.0,983040.0,696.0,178176.0
25,ME-DOL-ZO,11,0.015,descriptive,True,708.0,181248.0,0.0143494959920644,3840.0,983040.0,708.0,181248.0
25,ME-DOL-ZO,11,0.01,descriptive,False,,,,3840.0,983040.0,3840.0,983040.0
25,ME-DOL-ZO,12,0.05,primary,True,348.0,89088.0,0.0480960048735141,3840.0,983040.0,348.0,89088.0
25,ME-DOL-ZO,12,0.03,primary,True,456.0,116736.0,0.0279662869870662,3840.0,983040.0,456.0,116736.0
25,ME-DOL-ZO,12,0.02,descriptive,True,636.0,162816.0,0.0191950388252735,3840.0,983040.0,636.0,162816.0
25,ME-DOL-ZO,12,0.018,descriptive,True,648.0,165888.0,0.0178937818855047,3840.0,983040.0,648.0,165888.0
25,ME-DOL-ZO,12,0.016,descriptive,True,828.0,211968.0,0.0152302663773298,3840.0,983040.0,828.0,211968.0
25,ME-DOL-ZO,12,0.015,descriptive,True,1104.0,282624.0,0.0149973602965474,3840.0,983040.0,1104.0,282624.0
25,ME-DOL-ZO,12,0.01,descriptive,False,,,,3840.0,983040.0,3840.0,983040.0
25,ME-DOL-ZO,13,0.05,primary,True,336.0,86016.0,0.048033233731985,3840.0,983040.0,336.0,86016.0
25,ME-DOL-ZO,13,0.03,primary,True,420.0,107520.0,0.0298070926219224,3840.0,983040.0,420.0,107520.0
