method,oracle_type,worker_count,communication_round,total_work,num_seeds,stat_proxy_mean,stat_proxy_std,objective_mean,objective_std
NOG-ZO,szo,2,254,260096,5,0.01072917375713582,0.00035275880725599924,0.7276003241539002,0.005842701944630776
NOG-ZO,szo,2,302,309248,5,0.011024695262312841,0.0009902495596638325,0.7276216387748718,0.00585803674196744
NOG-ZO,szo,2,350,358400,5,0.01005678866058584,0.0008672584452658604,0.7276329040527344,0.00585538662527449
NOG-ZO,szo,2,398,407552,5,0.01011728215962642,0.0007615587201837005,0.7276356458663941,0.005852354572019108
NOG-ZO,szo,2,446,456704,5,0.01019339077174662,0.0007430215914262029,0.7276421546936035,0.005857679085766822
NOG-ZO,szo,2,494,505856,5,0.010117508284747539,0.0013166358514458425,0.727647864818573,0.005838750970649793
NOG-ZO,szo,2,542,555008,5,0.00987810380756848,0.0013391048983746106,0.72764892578125,0.005857347863347866
NOG-ZO,szo,2,590,604160,5,0.0097527809441089,0.0009183710478843061,0.7276172995567322,0.005872274927719143
NOG-ZO,szo,2,638,653312,5,0.0100044079124927,0.001054990631286089,0.727584183216095,0.005873824150733659
NOG-ZO,szo,2,686,702464,5,0.00958116408437484,0.0005196986527566543,0.7275720119476319,0.0058794603347679985
NOG-ZO,szo,2,734,751616,5,0.00953813381493088,0.000478279930610606,0.7275601148605346,0.005892282205092359
NOG-ZO,szo,2,782,800768,5,0.00929315295070406,0.0004088750857272678,0.7275356888771057,0.005900900623362372
NOG-ZO,szo,2,830,849920,5,0.00906561426818368,0.0010567680645404817,0.7275363802909851,0.005920906470821139
NOG-ZO,szo,2,878,899072,5,0.00934935007244346,0.0006884166545213581,0.7275408387184144,0.005903610427459292
NOG-ZO,szo,2,926,948224,5,0.00894787348806852,0.0006068658618174354,0.7275401830673218,0.0059242458249378635
NOG-ZO,szo,2,962,985088,5,0.009380294196307601,0.0006389947297221319,0.7275258064270019,0.005930638804251971
NOG-ZO,szo,4,14,14336,5,0.010882226563990061,0.000885299858775007,0.7273905754089356,0.0058095299745044284
NOG-ZO,szo,4,62,63488,5,0.0108768634498119,0.000699411816952931,0.7274932265281677,0.00582910014779561
NOG-ZO,szo,4,110,112640,5,0.010611114092171161,0.0005169073409887051,0.7275217294692993,0.005850088301035976
NOG-ZO,szo,4,158,161792,5,0.010121728666126682,0.0009741475207417207,0.7275498628616333,0.005845238315211992
NOG-ZO,szo,4,206,210944,5,0.010616204701364,0.000702108601310162,0.7275541424751282,0.005864314687147058
NOG-ZO,szo,4,254,260096,5,0.010247186757624099,0.0005545380683837552,0.7275704860687255,0.005869479678897495
NOG-ZO,szo,4,302,309248,5,0.01067210771143432,0.0009698894349810003,0.7275777816772461,0.005885729565658293
NOG-ZO,szo,4,350,358400,5,0.00984309334307904,0.0006578018989218822,0.7275590777397156,0.005895187114498383
