method,label,epsilon,hit_count,mean_depth_hits,mean_total_work_hits
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.01,5,388.8,49766.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00975,5,388.8,49766.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.0095,5,393.6,50380.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00925,5,393.6,50380.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.009,5,398.4,50995.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00875,5,403.2,51609.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.0085,5,403.2,51609.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00825,5,408.0,52224.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.008,5,412.8,52838.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00775,5,417.6,53452.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.0075,5,427.2,54681.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00725,5,427.2,54681.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.007,5,427.2,54681.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00675,5,427.2,54681.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.0065,5,451.2,57753.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00625,5,451.2,57753.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.006,5,451.2,57753.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00575,5,480.0,61440.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.0055,5,484.8,62054.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00525,5,504.0,64512.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.005,5,513.6,65740.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00475,5,528.0,67584.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.0045,5,556.8,71270.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.00425,5,604.8,77414.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-100__batch-total-128__rounds-15360,0.004,5,734.4,94003.2
