dataset,method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,hit_epsilon,capped_depth,capped_work,stage
synthetic_maxsinl1,current_NOG-nonopt,725,0.18,True,120,122880,0.1755610108,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.16,True,136,139264,0.1555936188,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.14,True,148,151552,0.1392529756,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.12,True,164,167936,0.1166314855,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.1,True,176,180224,0.0986026898,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.09,True,184,188416,0.08614192903,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.08,True,192,196608,0.07435838133,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.07,True,196,200704,0.06825838983,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.06,True,204,208896,0.05667511001,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.05,True,212,217088,0.04470723867,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.04,True,216,221184,0.03915505856,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.03,True,224,229376,0.02774064802,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.025,True,228,233472,0.02327180654,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.02,True,232,237568,0.01914721914,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.018,True,236,241664,0.01573380828,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.016,True,236,241664,0.01573380828,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.015,True,240,245760,0.01449589804,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.014,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.013,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.012,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.0115,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.011,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.01075,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.0105,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.01025,False,,,0.02783317119,960,983040,formal
